PID,fgs_label_s
pitt:31735056287570,"Memoirs of John Bannister Gibson, late chief justice of Pennsylvania"
pitt:2000.07.014,Spain in Arms lecture announcement
pitt:31735037838046,"History of Colonel Henry Bouquet and the western frontiers of Pennsylvania, 1747-1764"
pitt:31735052512971,See Pittsburgh first
pitt:31735033432653,Historical sketch of the Sharpsburg Presbyterian Church
pitt:2000.07.117,Irene Kaufmann Settlement News
pitt:2000.07.084,Beat The New Year In
pitt:31735054855840,"Anecdotes of the life of the Right Honourable William Pitt, earl Chatham, and of the principle events of his time"
pitt:2000.07.105,Why We Need A Minimum Wage Law for Women and Minors
pitt:2000.07.076,Veterans Against the Imprisonment of Phil Frankfeld
pitt:2000.07.069,Call To A National Conference For Unemployment and Social Insurance
pitt:2000.07.047,The Truth About Gone With the Wind
pitt:2000.07.066,International Workers Order
pitt:2000.07.030,Come to the Veterans' Mass Memorial announcement
pitt:31735054854264,"Monument to Major-General Arthur St. Clair, Greensburg"
pitt:2000.07.025,Who is Eugene Cole? leaflet
pitt:2000.07.078,Labor Picnic
pitt:31735054852573,"Address to the citizens of Pittsburgh, July 9, 1833"
pitt:2000.07.081,The Prize Winner
pitt:2000.07.003,Worker Delegates from Soviet Russia Mass Meeting announcement
pitt:2000.07.098,Literature Builder
pitt:2000.07.080,"New Theatre Presents ""Bury The Dead"
pitt:2000.07.107,The Truth About Spain
pitt:2000.07.097,Welcome Reception to the National Job Marchers from the West
pitt:2000.07.086,April Fool's Day Workers School Dance
pitt:31735038275214,"Address on the commercial outlets of the Great Lakes, with special reference to the proposed Lake Erie and Ohio River Ship Canal"
pitt:2000.07.015,Hitler's Hatchet Man! speech transcript
pitt:2000.07.045,To Women Wives and Mothers
pitt:31735054855071,"Anecdotes of the life of the Right Honourable William Pitt, earl Chatham, and of the principle events of his time"
pitt:2000.07.029,Election Returns Party at the Workers School announcement
pitt:31735054779529,Annual report of the Watering Committee for the year ... to the Select and Common Councils of the city of Pittsburgh
pitt:31735054850288,"State of the accounts of William Perry, Esq. late Treasurer of Westmoreland County, till 20th March, 1788"
pitt:31735038278093,Yale Alumni Association of Pittsburgh
pitt:31735056288412,"Larimer, McMasters and allied families"
pitt:31735054778596,"Pittsburgh's progress, industries and resources, 1886"
pitt:2000.07.110,Steel Workers! Your Questions Answered!
pitt:2000.07.051,Over the Top... Republican Spain Drives Fascist from Madrid
pitt:2000.07.063,Commemorate Lenin
pitt:31735054778331,"In memoriam, Frederick Hill Collier"
pitt:2000.07.036,Company Union Racket Exposed: Why A Real Union is Needed
pitt:2000.07.088,Stop the Runaway Japanese Army!
pitt:2000.07.073,The Communist Estimate of the New Mayor
pitt:2000.07.024,They Shall Not Die book advertisement
pitt:2000.07.075,The Fifth Column Strikes!
pitt:2000.07.070,Demand Their Immediate Release
pitt:2000.07.079,"Ashely Pettis ""Music in Soviet Russia"""
pitt:31735056287828,Historical sketch relating to the original boundaries and early times of Franklin County
pitt:31735054850247,State of the accounts of the taxes of Washington County
pitt:2000.07.089,In Defense if Our Civil Rights: A Public Protest Meeting
pitt:31735054778745,Notable men of Pittsburgh and vicinity
pitt:31735056287679,"First United Presbyterian Church of Pittsburgh, Pa"
pitt:31735056287471,"Historical account of Bouquet's expedition against the Ohio Indians, in 1764"
pitt:31735054856384,"journal of the voyages and travels of a corps of discovery, under the command of Capt. Lewis and Capt. Clarke of the army of the United States, from the mouth of the river Missouri through the interior parts of North America to the Pacific Ocean, during t"
pitt:2000.07.057,Summer Term
pitt:2000.07.106,Nazis in America Make Changes--But What are the Facts?
pitt:31735054778547,Negro migrant in Pittsburgh
pitt:2000.07.049,Why Every Negro Should Vote Communist
pitt:2000.07.085,Essay Contest
pitt:2000.07.037,Mill News
pitt:2000.07.068,Stop Layoffs! Act Now
pitt:31735056288297,Relation historique de l'expe´dition contre les Indiens de l'Ohio en MDCCLXIV
pitt:2000.07.101,"Working Class Leaders Framed up by the Coal, Steel and Aluminum Bosses"
pitt:31735056287331,"Lyles of Washington County, Penna., 1681 to 1886"
pitt:31735056287521,Allegheny County: its early history and subsequent development
pitt:2000.07.032,Special Notice: letter from City Committee Pittsburgh CP
pitt:2000.07.042,They Shall Not Die: Mass Meeting 
pitt:2000.07.052,Lift the Embargo Against the Spanish Republic
pitt:2000.07.111,Letter to Our Friends
pitt:2000.07.100,May a Catholic Accept the Outstretched Hand of Communism?
pitt:31735054858737,Oration delivered at the centennial celebration of the evacuation of Fort Duquesne
pitt:2000.07.021,"Boycott Bulletin, Pittsburgh Joint Boycott Council"
pitt:2000.07.034,Who are the Conspirators?
pitt:2000.07.055,Marx Lenin Exhibit Workers School
pitt:31735054853662,"Colonel Henry Bouquet, 60th Royal Americans, 1756-1765"
pitt:2000.07.018,Story of the Militant Labor Movement lecture series announcement
pitt:2000.07.083,A New Night In The Theatre
pitt:2000.07.077,River Outing and Weiner Roast
pitt:31735054849942,"Report of the Committee appointed by the citizens of Pittsburgh, at a meeting held at the court-house on the 21st of December, 1816, to inquire into the state of the manufactures in the city and its immediate vicinity"
pitt:2000.07.033,Protest Against Pilsudsky Terror and Organized Pogroms announcement
pitt:31735054851583,Dr. M. Brown and class of 1830
pitt:2000.07.060,Tube City News
pitt:31735054855550,"In the Supreme Court of Pennsylvania, Western District, no. 268 October and November sessions, 1859, James Nesbit or Nesmith, Plaintiff in error and defendant below, vs. the Commonwealth of Pennsylvania, defendant in error"
pitt:2000.07.054,Mercy On Wheels
pitt:31735054857556,"Minutes of conferences held at Fort Pitt, in April and May 1768, under the direction of George Croghan, Esquire, deputy agent for Indian Affairs, with the chiefs and warriors of the Ohio and other Western Indians"
pitt:31735054849553,Minutes of the Synod of Pittsburgh
pitt:31735056287695,"Dedicatory services of the new edifice of the Third Presbyterian Church, of Pittsburgh, Penn'a"
pitt:31735054853738,"George Westinghouse, 1846-1914"
pitt:31735056287497,"Minutes of the Presbytery of Redstone, of the Presbyterian Church in the U.S.A"
pitt:31735056287620,Col. Henry Bouquet and his campaigns of 1763 and 1764
pitt:2000.07.044,Negro Liberation!: Are the Negro People a Nationality
pitt:2000.07.093,Rents Going Up Houses Falling Down!
pitt:2000.07.095,Protest Demonstration Against the State Commissary Plan
pitt:31735056287422,Gazette publications
pitt:2000.07.020,Peace Day rally announcement
pitt:2000.07.013,Art Cinema program announcement
pitt:31735056285335,"history of an expedition against Fort Du Quesne, in 1755 under Major-General Edward Braddock"
pitt:2000.07.096,Unemployment Security for the Masses
pitt:31735054849876,To the citizens of Washington County
pitt:31735054850387,"Act of the legislature of Pennsylvania of third April 1792 and opinions theron, to the persons emigrating to Alleghany Rivers and Conewango Creek"
