identifier,final_title,part_number,date,publisher,pubplace,County1,City1,CitySection1,County2,City2,CitySection2,County3,City3,CitySection3,County4,City4,CitySection4,County5,City5,CitySection5,County6,City6,CitySection6,County7,City7,CitySection7,County8,City8,CitySection8,County9,City9,CitySection9,County10,City10,CitySection10,County11,City11,CitySection11,County12,City12,CitySection12,County13,City13,CitySection13,County14,City14,CitySection14,County15,City15,CitySection15,County16,City16,CitySection16,County17,City17,CitySection17,County18,City18,CitySection18,County19,City19,CitySection19,County20,City20,CitySection20,streets,features
00vseind,South Eastern Vicinity of Pittsburgh,Index Map,1900,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,"Youghiogheny, Monongahela"
00vsep01,Part of City of McKeesport,Plate 1,1900,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),McKeesport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Paw Paw al, Welsher al, Water st, Walnut st, Tube Works al, Third ave, Sheridan st, Strawberry al, Sinclair st, South Diamond st, Second ave, Blackberry al, Ringold st, North Diamond st, Haber al, Butler al, Church al, Delano ay, Sixth ave, Fourth ave, Mulberry al, Gould al, Hazel al, Huey st, Jerome st, Locust st, Market st, First ave ","Youghiogheny, Monongahela"
00vsep02,Part of City of McKeesport,Plate 2,1900,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),McKeesport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grant st, Brick al, Bellefont al, Buena Vista st, Eight ave, Sixth ave, Eleventh ave, Penny st, Plum al, Shaws ave, Rose st, Sandy al, Olive st, School al, Ninth ave, Spring st, Tenth ave, Thorn al, Whigham st, Wilkins al, Tube Works al, Spruce st, Jenny Lind st, Water st, Grape al, Gardener al, Hill st, Harrison al, Hurrell al, Peach al, King al, Frank al, Kelly al, Lincoln st, Logan al, Mary st, Mulberry al, Market st, Huey st, Yough al ",Youghiogheny
00vsep03,Part of City of McKeesport,Plate 3,1900,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),McKeesport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Belleview ave, Farm al, Eagle al, Evans ave, Enterprise al, West parkway, Seventh ave, Arch st, Hill al, Eight ave, Coursin st, Clifford st, Brad st, Versailles ave, East parkway, Gray al, Wiley ave, Hazel st, Jones st, Juniata st, Laurel al, May st, Park st, Petty st, Ridge st, Riggs al, Stones al, Union ave, White st, Fairview ave ","East Park, Fairview Cemetery, St. Joseph's Cemetery,"
00vsep04,Part of City of McKeesport,Plate 4,1900,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),McKeesport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"White st, Oak al, Peach st, Colombia st, Marteniz al, Penn st, Evans ave, St Clair al, Wamplers way, Speilman, Jerome ave, Ogle al, Hazel st, Hill al, Park st, Center st, Virsion st, Wiley ave, Bard st, Armstrong st, Tyan al, Clifford ave, Fifth ave, Belleview ave, Tenth ave, Neel st, Coursin st, North st, South al, May st, Martin st, Wood st, Fourth ave, Peach al ",Monongahela
00vsep05,Part of McKeesport,Plate 5,1900,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),McKeesport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Locust st, Manor ave, 14th st, 15th st, Ivy st, Trust al, Clay st, Clay al, Bouquet st, 16th st, Byron st, Hawkin al, Carnegie ave, 13th st, Versailles ave, Walnut st, 11th st, Rose st, Berlin st, Market st, Jackson al, Ferrigan st, Tube Works al, Palmer st, Grant st, Gibson st, Federal ave, Hitchcock st, Soles st, Evans ave, Oak st, Park st, Bridge st, South Park way, Irwin st, Library ave, Butler ave, Bank st, Huey st, River st, Stewart st, Union ave, 12th ave, Beaver st, Beech st, Manor st, Flagler ave, Willow ave, Converse ave, Jenny Lind st ","South Park, Reservoir, Youghiogheny"
00vsep06,"Part of City of McKeesport, Versailles Twp",Plate 6,1900,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),McKeesport,,Allegheny County (Pa.),Versailles (Township),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Corn al, Barn al, Hamilton ave, Crab al, Orchard al, Freemont ave, Diamond al, Thurman ave, Banker ave, Allison st, Murphy al, Exchange al, Morton ave, Mercantile ave, Main st, Olive al, Barnum al, Barnum ave, Pirl st, Woodland ave, Sinclair ave, Mains al, St Peter's ave, Church, Wesley ave, Cookman al, Williams ave, Luther al, Seabury ave, St Mary's al, Calvin ave, King ave, Tyler ave, McKinley st, Carson st, Sumac st, Rosena ave, Parker st, Foster al, Isenberg st, Starcamp st, Cherry ln, Gleason st, Gibson st, St John al, Alhambra al, O'Dair ave, Silver al, Panama st, Magee al, Ferguson ave, Tate al, Collins st, Hall al, Gray st, Stewart st, Orchard st, Grandview ave, Ridge st, Forest ave, Cleveland ave, Short st, Laurel al, Auburn st, Oak st, Oak al, De Long al, Atcheson ave, Dinsmore ave, Orange al, Stewart ave, Forbes al, Garbett ave, Hall al, Grover ave, Irwin al, Palm Green st, Thurman ave, Soles ave, Harrison ave, Power ave, Powderly al, Ross st, Maple st, Dove al, Scott st, Beaver ave, Hitchcock ave, Packer st, Powderly ave, River st, Jenny Lind st, Irwin st, Scott ave, Gray al, West parkway, Park st, May st, Cherry st, Juniata st, Jones st, Petty st, Hill al, Laurel al, Fairview ave, Farm al, Stewart st, Eaton ave, Bouquet al, Duquesne ave, Hazel st, Donovan st, Ridge ave, Grandview ave, Cleveland ave, Barnum al, Forest ave, Cherry ln, Riggs al, Wiley ave, Versailles ave, Union ave, Stones al, White st, Harrison ave ","St. Mary's Cemetery,"
00vsep07,Part of McKeesport,Plate 7,1900,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),McKeesport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Summitt st, Elm st, Bowman ave, Mahaffey st, Ridge st, Queen st, Sylvan st, Cherry st, Cherry al, Mathis st, Homer st, Linden ave, Linden ave, Cronemeyer ave, Chester st, Summit ave, Quay st, Hartman ave, Forest ave, Reed st, Shady ave, Grove al, Water al, Dewees st, Fayette ave, Bennett st, Camp st, Summitt ave, Hartman al, Gas al, Sterling, Jarvis st, Milvina st, Ewing st, Highland ave, Cronemeyer ave, Shields ave, Dark al, Versailles ave, 11th ave, 10th ave, 9th ave, 8th ave, 7th ave, Soles st, Day al, 4th st, 3rd st, River st, Fifth ave, 6th ave, 6th ave, Sarah st, Short st, East st, Shady ave, Moss al, Riverside ave, Evans ave, Anderson ave, Fawcett st, Rebecca st, Main ave, Freeland ave, Boyd ave, Craig st, Patterson st, Freemont st, Uno al, Isenberg st, Cliff ave, East al, Pirl st ","McKeesport & Versailles Cemetery, Monongahela"
00vsep08,"Parts of City of McKeesport, Versailles Twp",Plate 8,1900,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),McKeesport,,Allegheny County (Pa.),Versailles (Township),,Allegheny County (Pa.),North Versailles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Park way, Linden ave, Aberle ave, Pennsylvania ave, Clinton st, Navy st, Highland ave, Hoke al, Carlisle al, Columbia ave, 5th ave, Oak st, Gas al, Gas al, Bowman ave, Bowman ave, Bowness ave, Franklin ave, Franklin ave, Morton al, Stone al, Orchard st, Potomac ave, Shady ave, Maple st, 5th ave, Wabash ave, Cliff st, Gresham al, Bissell al, Russell al, Smith al, Township rd, Treasury st, Chesapeake ave, Lamont al, Senate st, Jersey ave, Congress st, Delaware ave, Pine al, Capital st, Vermont ave, California ave, Georgetown ave, Race al, Skelly st, John al, James al, Robert al, Frederick al, Kansas ave, White Oak Level blvd, Raymond al, Willard al, Pennsylvania ave, Hill al, York ave, Delaware ave, Line al, Spring al, Vermont ave, Capitol st, State st, Foster st, Jersey ave, Ohio ave, Fern al, Boyer al, Jones al, Dewees st, Fayette ave, Forest ave, Main ave, Milvina st, Shields ave, Bennett st, Ewing st, Fawcett st, Gas st, Jarvis st, 5th ave, Sterling st, Leech ave, Dome ave, Water al, Parkway, Riggs st, Vine st, Popular st ",Monongahela
00vsep09,"Ward 11 McKeesport, Plan of Coultersville",Plate 9,1900,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),McKeesport,Christy Park,Allegheny County (Pa.),Coultersville,,Allegheny County (Pa.),South Versailles (Township),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Houghton ave, Youghiogheny ave, Front st, Barton ave, Schaum al, Brown ave, Penny st, Neal al, Connellsville al, Blaine st, Juniata st, Wampler al, Locust st, Outlet al, Ward al, Patterson ave, Coursin al, Sill ave, Beale st, Hamilton st, Lountz al, Hill st, Sherman st, Passenger al, Freight al, Fifth st, Stockdale ave, Baker al, First st, Second st, River st, Third st, Depot st, School rd, Sixth st, Seventh st, Eighth st, Ninth st, Willow ave, Snow al, Fourth st, Pangross al, Speer al, Butler ave, Fall al, Federal ave, Smith al, Flagler ave, Jack al, Plum al, Volk al ","Reservoir, Youghiogheny"
