identifier,final_title,part_number,date,publisher,pubplace,County1,City1,CitySection1,County2,City2,CitySection2,County3,City3,CitySection3,County4,City4,CitySection4,County5,City5,CitySection5,County6,City6,CitySection6,County7,City7,CitySection7,County8,City8,CitySection8,County9,City9,CitySection9,County10,City10,CitySection10,County11,City11,CitySection11,County12,City12,CitySection12,County13,City13,CitySection13,County14,City14,CitySection14,County15,City15,CitySection15,County16,City16,CitySection16,County17,City17,CitySection17,County18,City18,CitySection18,County19,City19,CitySection19,County20,City20,CitySection20,streets,features
00vsep07,Part of McKeesport,Plate 7,1900,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),McKeesport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Summitt st, Elm st, Bowman ave, Mahaffey st, Ridge st, Queen st, Sylvan st, Cherry st, Cherry al, Mathis st, Homer st, Linden ave, Linden ave, Cronemeyer ave, Chester st, Summit ave, Quay st, Hartman ave, Forest ave, Reed st, Shady ave, Grove al, Water al, Dewees st, Fayette ave, Bennett st, Camp st, Summitt ave, Hartman al, Gas al, Sterling, Jarvis st, Milvina st, Ewing st, Highland ave, Cronemeyer ave, Shields ave, Dark al, Versailles ave, 11th ave, 10th ave, 9th ave, 8th ave, 7th ave, Soles st, Day al, 4th st, 3rd st, River st, Fifth ave, 6th ave, 6th ave, Sarah st, Short st, East st, Shady ave, Moss al, Riverside ave, Evans ave, Anderson ave, Fawcett st, Rebecca st, Main ave, Freeland ave, Boyd ave, Craig st, Patterson st, Freemont st, Uno al, Isenberg st, Cliff ave, East al, Pirl st ","McKeesport & Versailles Cemetery, Monongahela"
01v01ind,"1st-8th, 12th & 13th Wards",Index Map,1901,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,
01v01p01,"Chateau, Manchester",Plate 1,1901,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Allegheny ,Manchester,Allegheny County (Pa.),Pittsburgh,Manchester,Allegheny County (Pa.),Pittsburgh,Chateau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wayne st, Somerset st, Vermont st, Preble ave, Magnolia st, Market st, Laurel al, Sigel st, Chartiers st, Fulton st, Manhattan st, High st, Gladstone (Evans) (al) st, Gladstone (Evans al) st, Knox st, Newry st, Wolf al, Beaver ave, Adams st, Hoffman (Pine al) st, Margaret st, Island ave, Stanton ave, Delaware st, Warner st, Island (Strawberry ln) ave, Orbit (Orchard ln) st, Brady st, Colfax st, Bayard st, Sumner st, Scrip al, Nixon st, New Hudson (Grant) (al) st, New Hudson (Grant al) st, Washington (Island) (ln) ave ","Pittsburgh, Fort Wayne & Chicago Railway, Steps, Pittsburgh & Western Railway, Harbor Line, Ohio"
01v01p02,"Chateau, Manchester",Plate 2,1901,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Allegheny ,Manchester,Allegheny County (Pa.),Pittsburgh,Manchester,Allegheny County (Pa.),Pittsburgh,Chateau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laurel al, Juniata st, (Lecky) Latrobe al, Preble st, Washington (Island ln) ave, Fulton st, Manhattan st, Haines al, Chartiers st, Gladstone (Evans) (al) st, Beaver ave, (Ohio) Ogden st, Sheffield st, Pennsylvania ave, Ward st, Greenwood st, Decatur st, Rush st, Locust st, Rosedale st, Lake st, Magnolia al, Market st, Franklin st, Stewart st ","Pittsburgh & Cleveland Railroad, Pittsburgh & Western Railway, Harbor Line, Ohio"
01v01p03,"Chateau, Manchester",Plate 3,1901,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Allegheny ,Manchester,Allegheny County (Pa.),Pittsburgh,Manchester,Allegheny County (Pa.),Pittsburgh,Chateau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Frazier st, Salma al, Belmont ave, Beaver st, Kentucky (Central st) ave, Fulton st, Manhattan st, Chartiers st, Evans al, Mulberry st, Laurel st, Market st, Magnolia st, Preble ave, Fayette st, Miller (Joint) (al) st, Ridge ave, Greenwood st, Spruce st, Sheffield st, Hamlin st, Page st, Manilla al, Hopkins st, Western ave, Rebecca ave, Carson st, Faulkner st, Lincoln ave ","Harbor Line, Pittsburgh & Western Rail Way, Ohio"
01v01p04,"California-Kirkbride, Manchester",Plate 4,1901,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Allegheny ,Manchester,Allegheny County (Pa.),Pittsburgh,Manchester,Allegheny County (Pa.),Pittsburgh,California-Kirkbride,Allegheny,Pittsburgh,Perry South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lamont al, Relief al, A st, B st, Raspberry al, Taggart st, Henry st, Logan (al) st, Logan (Peach al) st, Brighton pl, Irwin ave, Oakland (Dover Hill) st, St Clair (D) st, St Marks (C) pl (st), Brighton rd, Farris st, Melrose (Gallagher) st, Kirkpatrick (Ford st) ave, Fremont (al) st, Myrtle st, Washington ave, Nevada (Nixon) st, Somerset st, Sumner st, Colfax st, Kirkpatrick ave, Sigel st, Sarah st, Sweeny al, Sweeny st, California ave, Adams st, Warner st, Dill st, Margaret st, (Strawberry) (ln) Island ave, Charles st, Sedgwick st, Wolf al, Fulton st, Morrison ave, Kirkpatrick al, Winifred st ","Steps, Uniondale Cemetery, Pittsburgh, Fort Wayne & Chicago Railway, Incline Plane, Steps, Steps,"
01v01p05,"California-Kirkbride, Manchester",Plate 5,1901,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Allegheny ,Manchester,Allegheny County (Pa.),Pittsburgh,Manchester,Allegheny County (Pa.),Pittsburgh,California-Kirkbride,Allegheny,Pittsburgh,Central North Side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"McCauslin (McDonald) st, Sedgwick st, Grant st, Frazier st, Bidwell st, Allegheny ave, Jackson st, Fremont st, Irwin ave, Allegheny ave Extension, Beymer st, Marquis (al) st, Fulton st, Ward st, Filmore (Franklin) st, Lake st, Braddock st, Washington ave, Juniata st, Rush st, Franklin st, Decatur st, Oak al, Pennsylvania ave, Sheffield st, Cabinet st, Locust st, Stewart st ","Pittsburgh, Fort Wayne & Chicago Railway,"
01v01p06,"Allegheny West, Manchester, Chateau",Plate 6,1901,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Allegheny ,Manchester,Allegheny County (Pa.),Pittsburgh,Manchester,Allegheny County (Pa.),Pittsburgh,Allegheny West,Allegheny,Pittsburgh,Central North Side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chapel al, Frazier st, Bidwell st, Reed st, Allegheny ave, Grant ave, Rope al, Paxton (Pine) al, North ave West, Lincoln ave, Juno (Daisy) al, Rope (Gas) al, Baliff al, Irwin ave, Barnes al, Manilla al, Douglass (Pasture) (al) pl, Sheffield st, Hamlin st, Cabinet st, Abdell st, Western ave, Ridge st, Braddock st, Bouquet st, Buttercup al, Beech st, Fayette st ","Pittsburgh, Fort Wayne & Chicago Railway,"
01v01p07,"Chateau, Manchester",Plate 7,1901,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Allegheny ,Manchester,Allegheny County (Pa.),Pittsburgh,Chateau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cypress al, Frazier st, Ridge ave, Dilworth al, Rebecca st, South ave, Lighthill st, Belmont ave, Chartiers st, Sproat al ","Pittsburgh & Western Rail Way, Harbor Line, Ohio"
01v01p08,"Chateau, Manchester, North Shore, Allegheny West",Plate 8,1901,G.M. Hopkins,Philadelphia,Allegheny County (Pa.),Allegheny ,Manchester,Allegheny County (Pa.),Pittsburgh,Chateau,Allegheny County (Pa.),Pittsburgh,Allegheny West,Allegheny,Pittsburgh,North Shore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English al, Sproat al, Walker st, Allegheny ave, Patterson al, Sturgeon st, Frazier st, Grant ave, Rebecca st, Denny st, Borland al, Snowdon st, South ave, Ridge ave, Shields st, Brown st, Park st, Thomas st, Caroline st, Harding st, Bowen st, Windsor st, Rodgers (Stevens al) st, Irwin ave, St Clair st ","Harbor Line, Pittsburgh & Western Railway, Steps, Union Bridge, Ohio"
